District,Year,Dengue_Cases,Dengue_Deaths
Trivandrum,2011,865,1
Trivandrum,2012,2447,4
Trivandrum,2013,4192,5
Trivandrum,2014,1280,3
Trivandrum,2015,991,9
Trivandrum,2016,2158,7
Trivandrum,2017,8955,13
Trivandrum,2018,311,2
Trivandrum,2019,1100,4
Trivandrum,2020,631,1
Trivandrum,2021,485,2
Trivandrum,2022,844,6
Trivandrum,2023,2451,12
Trivandrum,2024,2668,18
Kollam,2011,34,1
Kollam,2012,150,4
Kollam,2013,489,1
Kollam,2014,73,1
Kollam,2015,245,3
Kollam,2016,1064,7
Kollam,2017,2857,30
Kollam,2018,248,1
Kollam,2019,696,3
Kollam,2020,460,4
Kollam,2021,114,1
Kollam,2022,597,11
Kollam,2023,2473,36
Kollam,2024,2639,18
Pathanamthitta,2011,15,0
Pathanamthitta,2012,143,1
Pathanamthitta,2013,484,7
Pathanamthitta,2014,191,0
Pathanamthitta,2015,204,0
Pathanamthitta,2016,611,0
Pathanamthitta,2017,705,1
Pathanamthitta,2018,370,2
Pathanamthitta,2019,228,3
Pathanamthitta,2020,99,2
Pathanamthitta,2021,31,0
Pathanamthitta,2022,88,1
Pathanamthitta,2023,313,4
Pathanamthitta,2024,728,5
Idukki,2011,13,1
Idukki,2012,86,0
Idukki,2013,369,3
Idukki,2014,20,0
Idukki,2015,127,3
Idukki,2016,125,0
Idukki,2017,168,0
Idukki,2018,53,0
Idukki,2019,87,0
Idukki,2020,38,0
Idukki,2021,74,1
Idukki,2022,21,0
Idukki,2023,309,2
Idukki,2024,655,3
Kottayam,2011,62,0
Kottayam,2012,156,5
Kottayam,2013,412,4
Kottayam,2014,30,0
Kottayam,2015,98,2
Kottayam,2016,543,0
Kottayam,2017,429,0
Kottayam,2018,125,1
Kottayam,2019,166,0
Kottayam,2020,226,2
Kottayam,2021,139,2
Kottayam,2022,68,2
Kottayam,2023,154,5
Kottayam,2024,464,5
Alappuzha,2011,36,0
Alappuzha,2012,81,0
Alappuzha,2013,184,1
Alappuzha,2014,46,1
Alappuzha,2015,157,1
Alappuzha,2016,839,2
Alappuzha,2017,1375,8
Alappuzha,2018,149,1
Alappuzha,2019,355,1
Alappuzha,2020,221,0
Alappuzha,2021,110,1
Alappuzha,2022,281,3
Alappuzha,2023,586,5
Alappuzha,2024,1060,4
Earnakulam,2011,139,4
Earnakulam,2012,245,0
Earnakulam,2013,350,1
Earnakulam,2014,149,0
Earnakulam,2015,243,0
Earnakulam,2016,431,0
Earnakulam,2017,494,0
Earnakulam,2018,177,0
Earnakulam,2019,431,1
Earnakulam,2020,295,3
Earnakulam,2021,945,6
Earnakulam,2022,1468,20
Earnakulam,2023,3855,27
Earnakulam,2024,4823,23
Trissur,2011,28,0
Trissur,2012,173,0
Trissur,2013,229,0
Trissur,2014,153,4
Trissur,2015,253,0
Trissur,2016,356,1
Trissur,2017,939,7
Trissur,2018,205,0
Trissur,2019,113,0
Trissur,2020,143,0
Trissur,2021,299,1
Trissur,2022,213,2
Trissur,2023,1972,17
Trissur,2024,2162,17
Palakkad,2011,17,2
Palakkad,2012,108,0
Palakkad,2013,152,3
Palakkad,2014,40,1
Palakkad,2015,145,0
Palakkad,2016,136,1
Palakkad,2017,2287,37
Palakkad,2018,299,7
Palakkad,2019,78,0
Palakkad,2020,47,0
Palakkad,2021,99,1
Palakkad,2022,152,5
Palakkad,2023,1063,26
Palakkad,2024,1303,16
Malappuram,2011,21,0
Malappuram,2012,163,0
Malappuram,2013,523,3
Malappuram,2014,146,1
Malappuram,2015,275,2
Malappuram,2016,248,0
Malappuram,2017,963,62
Malappuram,2018,877,9
Malappuram,2019,361,0
Malappuram,2020,60,1
Malappuram,2021,169,2
Malappuram,2022,267,4
Malappuram,2023,2035,10
Malappuram,2024,1614,1
Kozhikode,2011,38,0
Kozhikode,2012,44,0
Kozhikode,2013,167,0
Kozhikode,2014,276,0
Kozhikode,2015,587,5
Kozhikode,2016,145,0
Kozhikode,2017,1354,7
Kozhikode,2018,247,3
Kozhikode,2019,405,2
Kozhikode,2020,69,2
Kozhikode,2021,209,6
Kozhikode,2022,44,2
Kozhikode,2023,834,2
Kozhikode,2024,1235,11
Wayanad,2011,8,0
Wayanad,2012,42,0
Wayanad,2013,50,0
Wayanad,2014,44,0
Wayanad,2015,157,0
Wayanad,2016,223,1
Wayanad,2017,463,0
Wayanad,2018,48,0
Wayanad,2019,177,0
Wayanad,2020,49,0
Wayanad,2021,32,0
Wayanad,2022,88,1
Wayanad,2023,120,1
Wayanad,2024,72,0
Kannur,2011,16,0
Kannur,2012,119,1
Kannur,2013,161,1
Kannur,2014,55,0
Kannur,2015,156,0
Kannur,2016,98,0
Kannur,2017,629,0
Kannur,2018,338,3
Kannur,2019,212,0
Kannur,2020,268,5
Kannur,2021,116,2
Kannur,2022,110,0
Kannur,2023,306,5
Kannur,2024,796,7
Kasargode,2011,12,1
Kasargode,2012,99,1
Kasargode,2013,176,0
Kasargode,2014,45,2
Kasargode,2015,476,4
Kasargode,2016,241,2
Kasargode,2017,375,0
Kasargode,2018,643,3
Kasargode,2019,242,0
Kasargode,2020,117,2
Kasargode,2021,429,2
Kasargode,2022,227,1
Kasargode,2023,295,1
Kasargode,2024,455,0
