Date,Year,Month,Month_Name,Dengue_Cases,Dengue_Deaths
2011-01-01,2011,1,January,68,1
2011-02-01,2011,2,February,41,2
2011-03-01,2011,3,March,54,0
2011-04-01,2011,4,April,53,0
2011-05-01,2011,5,May,84,0
2011-06-01,2011,6,June,168,0
2011-07-01,2011,7,July,129,0
2011-08-01,2011,8,August,146,1
2011-09-01,2011,9,September,115,3
2011-10-01,2011,10,October,188,3
2011-11-01,2011,11,November,116,0
2011-12-01,2011,12,December,142,0
2012-01-01,2012,1,January,187,0
2012-02-01,2012,2,February,170,0
2012-03-01,2012,3,March,131,1
2012-04-01,2012,4,April,71,0
2012-05-01,2012,5,May,162,1
2012-06-01,2012,6,June,602,6
2012-07-01,2012,7,July,705,2
2012-08-01,2012,8,August,529,0
2012-09-01,2012,9,September,336,3
2012-10-01,2012,10,October,414,0
2012-11-01,2012,11,November,348,1
2012-12-01,2012,12,December,401,2
2013-01-01,2013,1,January,344,0
2013-02-01,2013,2,February,170,0
2013-03-01,2013,3,March,186,0
2013-04-01,2013,4,April,451,2
2013-05-01,2013,5,May,1035,7
2013-06-01,2013,6,June,2161,6
2013-07-01,2013,7,July,1864,8
2013-08-01,2013,8,August,790,1
2013-09-01,2013,9,September,345,3
2013-10-01,2013,10,October,248,0
2013-11-01,2013,11,November,145,1
2013-12-01,2013,12,December,199,1
2014-01-01,2014,1,January,103,0
2014-02-01,2014,2,February,72,0
2014-03-01,2014,3,March,68,1
2014-04-01,2014,4,April,65,1
2014-05-01,2014,5,May,131,0
2014-06-01,2014,6,June,352,1
2014-07-01,2014,7,July,404,3
2014-08-01,2014,8,August,358,3
2014-09-01,2014,9,September,240,3
2014-10-01,2014,10,October,304,1
2014-11-01,2014,11,November,233,0
2014-12-01,2014,12,December,218,0
2015-01-01,2015,1,January,130,0
2015-02-01,2015,2,February,75,1
2015-03-01,2015,3,March,99,1
2015-04-01,2015,4,April,63,1
2015-05-01,2015,5,May,255,2
2015-06-01,2015,6,June,922,10
2015-07-01,2015,7,July,844,3
2015-08-01,2015,8,August,514,2
2015-09-01,2015,9,September,294,1
2015-10-01,2015,10,October,285,3
2015-11-01,2015,11,November,293,5
2015-12-01,2015,12,December,340,0
2016-01-01,2016,1,January,241,1
2016-02-01,2016,2,February,318,1
2016-03-01,2016,3,March,200,0
2016-04-01,2016,4,April,222,0
2016-05-01,2016,5,May,639,2
2016-06-01,2016,6,June,1290,4
2016-07-01,2016,7,July,1264,3
2016-08-01,2016,8,August,1210,4
2016-09-01,2016,9,September,646,1
2016-10-01,2016,10,October,468,3
2016-11-01,2016,11,November,341,0
2016-12-01,2016,12,December,379,2
2017-01-01,2017,1,January,415,0
2017-02-01,2017,2,February,301,1
2017-03-01,2017,3,March,473,3
2017-04-01,2017,4,April,1206,3
2017-05-01,2017,5,May,2621,13
2017-06-01,2017,6,June,5085,43
2017-07-01,2017,7,July,5555,60
2017-08-01,2017,8,August,3711,31
2017-09-01,2017,9,September,1187,4
2017-10-01,2017,10,October,696,4
2017-11-01,2017,11,November,426,1
2017-12-01,2017,12,December,317,2
2018-01-01,2018,1,January,167,1
2018-02-01,2018,2,February,95,2
2018-03-01,2018,3,March,72,0
2018-04-01,2018,4,April,73,1
2018-05-01,2018,5,May,441,4
2018-06-01,2018,6,June,1454,16
2018-07-01,2018,7,July,779,3
2018-08-01,2018,8,August,293,1
2018-09-01,2018,9,September,281,1
2018-10-01,2018,10,October,183,3
2018-11-01,2018,11,November,138,0
2018-12-01,2018,12,December,114,0
2019-01-01,2019,1,January,71,1
2019-02-01,2019,2,February,60,0
2019-03-01,2019,3,March,57,1
2019-04-01,2019,4,April,64,1
2019-05-01,2019,5,May,146,0
2019-06-01,2019,6,June,417,1
2019-07-01,2019,7,July,850,2
2019-08-01,2019,8,August,681,1
2019-09-01,2019,9,September,534,1
2019-10-01,2019,10,October,605,5
2019-11-01,2019,11,November,571,1
2019-12-01,2019,12,December,595,0
2020-01-01,2020,1,January,443,2
2020-02-01,2020,2,February,201,0
2020-03-01,2020,3,March,92,0
2020-04-01,2020,4,April,76,0
2020-05-01,2020,5,May,322,1
2020-06-01,2020,6,June,709,8
2020-07-01,2020,7,July,453,7
2020-08-01,2020,8,August,153,3
2020-09-01,2020,9,September,54,0
2020-10-01,2020,10,October,63,0
2020-11-01,2020,11,November,71,1
2020-12-01,2020,12,December,86,0
2021-01-01,2021,1,January,91,1
2021-02-01,2021,2,February,117,0
2021-03-01,2021,3,March,154,1
2021-04-01,2021,4,April,124,2
2021-05-01,2021,5,May,130,5
2021-06-01,2021,6,June,508,1
2021-07-01,2021,7,July,938,9
2021-08-01,2021,8,August,327,2
2021-09-01,2021,9,September,194,2
2021-10-01,2021,10,October,215,1
2021-11-01,2021,11,November,192,0
2021-12-01,2021,12,December,261,3
2022-01-01,2022,1,January,169,1
2022-02-01,2022,2,February,95,2
2022-03-01,2022,3,March,135,3
2022-04-01,2022,4,April,168,3
2022-05-01,2022,5,May,343,4
2022-06-01,2022,6,June,627,8
2022-07-01,2022,7,July,644,10
2022-08-01,2022,8,August,492,4
2022-09-01,2022,9,September,392,7
2022-10-01,2022,10,October,414,5
2022-11-01,2022,11,November,523,8
2022-12-01,2022,12,December,466,3
2023-01-01,2023,1,January,443,0
2023-02-01,2023,2,February,263,0
2023-03-01,2023,3,March,273,3
2023-04-01,2023,4,April,200,2
2023-05-01,2023,5,May,568,5
2023-06-01,2023,6,June,1942,32
2023-07-01,2023,7,July,3080,35
2023-08-01,2023,8,August,2388,15
2023-09-01,2023,9,September,1773,26
2023-10-01,2023,10,October,1643,13
2023-11-01,2023,11,November,2123,12
2023-12-01,2023,12,December,2070,10
2024-01-01,2024,1,January,1629,9
2024-02-01,2024,2,February,1403,8
2024-03-01,2024,3,March,948,9
2024-04-01,2024,4,April,667,13
2024-05-01,2024,5,May,1203,13
2024-06-01,2024,6,June,2247,13
2024-07-01,2024,7,July,3863,14
2024-08-01,2024,8,August,3086,10
2024-09-01,2024,9,September,2205,10
2024-10-01,2024,10,October,1508,9
2024-11-01,2024,11,November,999,12
2024-12-01,2024,12,December,916,8
